ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-10-10,3494.47548718804,3338.3524718612803,3705.8235053662283,3494.47548718804,3494.47548718804,30.476032828791805,30.476032828791805,30.476032828791805,30.476032828791805,30.476032828791805,30.476032828791805,0.0,0.0,0.0,3524.9515200168316
2025-10-13,3494.0072387767823,3344.4416350096826,3714.9327679147304,3494.0072387767823,3494.0072387767823,25.212489402026364,25.212489402026364,25.212489402026364,25.212489402026364,25.212489402026364,25.212489402026364,0.0,0.0,0.0,3519.2197281788085
2025-10-14,3493.8511559730305,3328.4904821237656,3715.6473031086734,3493.8511559730305,3493.8511559730305,31.29181505734376,31.29181505734376,31.29181505734376,31.29181505734376,31.29181505734376,31.29181505734376,0.0,0.0,0.0,3525.142971030374
2025-10-15,3493.6950731692777,3343.3992780087156,3724.4823340486637,3493.6950731692777,3493.6950731692777,42.912852191441466,42.912852191441466,42.912852191441466,42.912852191441466,42.912852191441466,42.912852191441466,0.0,0.0,0.0,3536.607925360719
2025-10-16,3493.538990365525,3336.1040891314656,3722.1260427245907,3493.538990365525,3493.538990365525,38.952118233660016,38.952118233660016,38.952118233660016,38.952118233660016,38.952118233660016,38.952118233660016,0.0,0.0,0.0,3532.491108599185
2025-10-17,3493.3829075617723,3345.2442065167443,3730.750520050307,3493.3829075617723,3493.3829075617723,30.476032829065296,30.476032829065296,30.476032829065296,30.476032829065296,30.476032829065296,30.476032829065296,0.0,0.0,0.0,3523.8589403908377
2025-10-20,3492.914659150515,3325.996711521444,3699.0793663716095,3492.914659150515,3492.914659150515,25.212489402020818,25.212489402020818,25.212489402020818,25.212489402020818,25.212489402020818,25.212489402020818,0.0,0.0,0.0,3518.127148552536
2025-10-21,3492.7585763467628,3320.0779213703977,3708.220295889201,3492.7585763467628,3492.7585763467628,31.291815057319877,31.291815057319877,31.291815057319877,31.291815057319877,31.291815057319877,31.291815057319877,0.0,0.0,0.0,3524.050391404083
2025-10-22,3492.602493543011,3345.9487718110377,3726.7131586122614,3492.602493543011,3492.602493543011,42.91285219144425,42.91285219144425,42.91285219144425,42.91285219144425,42.91285219144425,42.91285219144425,0.0,0.0,0.0,3535.5153457344554
2025-10-23,3492.4464105393145,3335.7506034321336,3735.494403613428,3492.4464105393145,3492.4464105393145,38.952118233639624,38.952118233639624,38.952118233639624,38.952118233639624,38.952118233639624,38.952118233639624,0.0,0.0,0.0,3531.3985287729543
2025-10-24,3492.290327535618,3334.6675333918834,3710.8682879107,3492.290327535618,3492.290327535618,30.476032828981435,30.476032828981435,30.476032828981435,30.476032828981435,30.476032828981435,30.476032828981435,0.0,0.0,0.0,3522.766360364599
2025-10-27,3491.822078524528,3330.347281223645,3718.288426742122,3491.822078524528,3491.822078524528,25.212489402100694,25.212489402100694,25.212489402100694,25.212489402100694,25.212489402100694,25.212489402100694,0.0,0.0,0.0,3517.034567926629
2025-10-28,3491.665995520832,3325.920904980969,3722.853807710391,3491.665995520832,3491.665995520832,31.291815057366925,31.291815057366925,31.291815057366925,31.291815057366925,31.291815057366925,31.291815057366925,0.0,0.0,0.0,3522.957810578199
2025-10-29,3491.509912517135,3346.4690438977523,3704.326679806881,3491.509912517135,3491.509912517135,42.91285219145033,42.91285219145033,42.91285219145033,42.91285219145033,42.91285219145033,42.91285219145033,0.0,0.0,0.0,3534.4227647085854
2025-10-30,3491.353829513439,3332.377161679193,3720.808425378359,3491.353829513439,3491.353829513439,38.95211823370991,38.95211823370991,38.95211823370991,38.95211823370991,38.95211823370991,38.95211823370991,0.0,0.0,0.0,3530.305947747149
2025-10-31,3491.197746509742,3332.9700055942553,3717.1604288532158,3491.197746509742,3491.197746509742,30.47603282898093,30.47603282898093,30.47603282898093,30.47603282898093,30.47603282898093,30.47603282898093,0.0,0.0,0.0,3521.673779338723
2025-11-03,3490.729497498653,3336.4857202643498,3707.1513414328165,3490.729497498653,3490.729497498653,25.212489402095144,25.212489402095144,25.212489402095144,25.212489402095144,25.212489402095144,25.212489402095144,0.0,0.0,0.0,3515.9419869007484
2025-11-04,3490.573414494956,3327.370080693557,3708.158296255155,3490.573414494956,3490.573414494956,31.291815057343054,31.291815057343054,31.291815057343054,31.291815057343054,31.291815057343054,31.291815057343054,0.0,0.0,0.0,3521.8652295522993
2025-11-05,3490.41733149126,3342.9893249407164,3747.0467093911716,3490.41733149126,3490.41733149126,42.91285219145311,42.91285219145311,42.91285219145311,42.91285219145311,42.91285219145311,42.91285219145311,0.0,0.0,0.0,3533.330183682713
2025-11-06,3490.261248487563,3327.0263708893326,3726.0596003211213,3490.261248487563,3490.261248487563,38.95211823368952,38.95211823368952,38.95211823368952,38.95211823368952,38.95211823368952,38.95211823368952,0.0,0.0,0.0,3529.2133667212524
2025-11-07,3490.105165483866,3327.161538071183,3733.78562855188,3490.105165483866,3490.105165483866,30.476032828897075,30.476032828897075,30.476032828897075,30.476032828897075,30.476032828897075,30.476032828897075,0.0,0.0,0.0,3520.5811983127633
2025-11-10,3489.636916472777,3321.641157940449,3700.3787688169405,3489.636916472777,3489.636916472777,25.212489402260427,25.212489402260427,25.212489402260427,25.212489402260427,25.212489402260427,25.212489402260427,0.0,0.0,0.0,3514.8494058750375
2025-11-11,3489.48083346908,3331.7500574204537,3720.7721559180036,3489.48083346908,3489.48083346908,31.291815057367494,31.291815057367494,31.291815057367494,31.291815057367494,31.291815057367494,31.291815057367494,0.0,0.0,0.0,3520.7726485264475
2025-11-12,3489.324750465384,3341.898162502214,3732.0665240319786,3489.324750465384,3489.324750465384,42.912852191436855,42.912852191436855,42.912852191436855,42.912852191436855,42.912852191436855,42.912852191436855,0.0,0.0,0.0,3532.237602656821
2025-11-13,3489.168667459624,3334.6274895478377,3719.8736235838533,3489.168667459624,3489.168667459624,38.95211823363392,38.95211823363392,38.95211823363392,38.95211823363392,38.95211823363392,38.95211823363392,0.0,0.0,0.0,3528.120785693258
2025-11-14,3489.0125844538647,3336.2617230501546,3702.8306801748417,3489.0125844538647,3489.0125844538647,30.476032828896567,30.476032828896567,30.476032828896567,30.476032828896567,30.476032828896567,30.476032828896567,0.0,0.0,0.0,3519.4886172827614
