Price,Close,High,Low,Open,Volume
Ticker,BBRI.JK,BBRI.JK,BBRI.JK,BBRI.JK,BBRI.JK
Date,,,,,
2025-01-03,3550.572265625,3627.5726280120484,3550.572265625,3610.4614363704823,134632300
2025-01-06,3507.79443359375,3576.2392030297256,3507.79443359375,3576.2392030297256,153048700
2025-01-07,3447.905029296875,3499.238602934049,3447.905029296875,3490.6830073278534,171997400
2025-01-08,3490.68310546875,3507.794297162224,3447.905126235064,3447.905126235064,133655700
2025-01-09,3447.905029296875,3507.794198540245,3447.905029296875,3482.1274117216576,99300400
2025-01-10,3430.794189453125,3473.572171865259,3430.794189453125,3447.9053824179787,132774300
2025-01-13,3293.904541015625,3413.682887961648,3293.904541015625,3413.682887961648,413408100
2025-01-14,3251.12646484375,3353.7936163651316,3251.12646484375,3268.2376567639803,293621700
2025-01-15,3499.23876953125,3499.23876953125,3285.348869193154,3285.348869193154,407813500
2025-01-16,3559.1279296875,3627.572697566106,3533.461141733023,3601.9059096116284,349387500
2025-01-17,3499.23876953125,3584.7947296664884,3490.683173517726,3550.572345612393,268758600
2025-01-20,3610.461669921875,3610.461669921875,3533.461302553873,3533.461302553873,167348600
2025-01-21,3644.683837890625,3747.350988253741,3636.128242027032,3653.2394337542178,345223800
2025-01-22,3644.683837890625,3696.017413072183,3619.017050299846,3687.46181720859,193218900
2025-01-23,3678.90625,3713.1286337209303,3644.6838662790697,3644.6838662790697,216018100
2025-01-24,3584.794921875,3721.684465431086,3584.794921875,3721.684465431086,276421900
2025-01-30,3524.905517578125,3567.6834971603835,3499.2387298287695,3533.4611134945767,220222400
2025-01-31,3610.461669921875,3661.7952481672096,3550.5724953023177,3567.6836880507626,192622700
2025-02-03,3636.12841796875,3653.239610523897,3550.572455193015,3593.350436580882,220285800
2025-02-04,3644.683837890625,3678.906221344997,3593.350262709067,3644.683837890625,231917500
2025-02-05,3542.0166015625,3636.1281537779287,3542.0166015625,3636.1281537779287,209834400
2025-02-06,3396.571533203125,3559.12785343199,3370.9047457985675,3524.905470225913,378545500
2025-02-07,3447.905029296875,3447.905029296875,3370.9046688411136,3396.5714556597004,259636200
2025-02-10,3396.571533203125,3465.016299615279,3379.460341600087,3422.238320607683,201999400
2025-02-11,3430.794189453125,3456.4609789004053,3336.682628146431,3396.571803523418,276382800
2025-02-12,3447.905029296875,3473.5718161154623,3379.4602644473093,3388.015860053505,362571900
2025-02-13,3413.682861328125,3447.905245902843,3388.0160728970864,3422.2384574718044,341640600
2025-02-14,3302.460205078125,3430.7941508713166,3293.9046086919125,3422.2385544851036,524909600
2025-02-17,3447.905029296875,3447.905029296875,3311.0154995977437,3311.0154995977437,265737100
2025-02-18,3550.572265625,3576.2390530873495,3447.9051157756026,3447.9051157756026,374350700
2025-02-19,3439.349365234375,3576.2388922088776,3430.7937697984685,3559.127701337065,348358600
2025-02-20,3345.238037109375,3439.349593140585,3345.238037109375,3396.5716131263985,312753300
2025-02-21,3328.126708984375,3362.3490915960397,3311.015517678543,3345.2379002902076,205268800
2025-02-24,3353.793701171875,3370.904893524793,3311.0157202895807,3336.6825088189576,138610800
2025-02-25,3251.12646484375,3353.7936163651316,3251.12646484375,3319.5712325246714,404555100
2025-02-26,3268.237548828125,3302.459931538367,3216.9039747627617,3251.126357473004,242834100
2025-02-27,3105.681396484375,3251.1265307549934,3088.5702042172434,3242.5709346214276,410928000
2025-02-28,2874.68017578125,3028.680899483817,2874.68017578125,2994.4585164388022,1000597600
